Definition Activefloat tower, part the publicly shared model of Activefloat-IEA15MW MW FOWT designed for Grand Canaria site - M. Youssef Mahfouz (mahfouz@ifb.uni-stuttgart.de)
     11
 
  HtFract   str_tw  tw_iner  TMassDen      TwFAIner          TwSSIner          TwFAStif             TwSSStif          TwGJStif          TwEAStif      cg_offst  sc_offst  tc_offst
    (-)      (deg) (deg)     (kg/m)         (kg m)            (kg m)             (Nm^2)              (Nm^2)           (Nm^2)               (N)          (m)       (m)       (m)
      0        0     0     14464.43969    178684.5789       178684.5789        4.78E+12              4.78E+12        1.80506E+12        3.86947E+11      0         0         0
    0.1        0     0     14464.43969    178684.5789       178684.5789        4.78E+12              4.78E+12        1.80506E+12           3.87E+11      0         0         0
    0.2        0     0     14298.59616    172608.7418       172608.7418        4.62E+12              4.62E+12        1.74368E+12        3.82665E+11      0         0         0
    0.3        0     0     11426.21822    127702.0883       127702.0883        3.42E+12              3.42E+12        1.29004E+12        3.05522E+11      0         0         0
    0.4        0     0     9734.151988    95731.80162       95731.80162        2.56E+12              2.56E+12        9.67074E+11        2.60275E+11      0         0         0
    0.5        0     0     8729.628009    77512.25501       77512.25501        2.07E+12              2.07E+12        7.83022E+11         2.3353E+11      0         0         0
    0.6        0     0     8379.312914    68550.29146       68550.29146        1.83E+12              1.83E+12        6.92489E+11        2.24109E+11      0         0         0
    0.7        0     0     7441.194475    58646.4424        58646.4424         1.57E+12              1.57E+12        5.92441E+11        1.99105E+11      0         0         0
    0.8        0     0     5386.590009    41120.14607       41120.14607        1.10E+12              1.10E+12        4.15392E+11        1.44051E+11      0         0         0
    0.9        0     0     5161.503522    34794.96943       34794.96943        9.31E+11              9.31E+11        3.51496E+11        1.38038E+11      0         0         0
      1        0     0     4945.593016    25870.96705       25870.96705        6.92E+11              6.92E+11        2.61346E+11        1.32302E+11      0         0         0











